,nEff,nResp,step,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,ourNumEdges,ourNumZeroEdges,ourNumPosEdges,ourNumSigMoreEdges,DiffEdges,dfgNumEdges80,dfgNumEdges100,sdE1,sdE2,sdE3,sdE4,sda
0,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,NA,NA,NA,NA,NA,,,0.0,0.0,0.0,0.0,0.0
1,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.01,0.01,0.17,0.81,2,0,2,1,2,4.0,10.0,0.0,0.0,0.09814954576223639,0.09814954576223633,0.0491
2,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.0,0.02,0.38,0.6,6,2,4,3,6,4.0,9.0,0.005773502691896258,0.005773502691896258,0.2193931022920578,0.2193931022920578,0.1126
3,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.01,0.01,0.6,0.38,6,2,4,3,6,4.0,10.0,0.0,0.0,0.34641016151377546,0.34641016151377546,0.1732
4,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.01,0.03,0.78,0.18,6,2,4,3,6,5.0,10.0,0.0,0.011547005383792514,0.45033320996790815,0.46188021535170065,0.2309
5,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.01,0.0,0.98,0.01,6,2,4,3,6,3.0,9.0,0.0,0.005773502691896258,0.5658032638058332,0.560029761113937,0.2829
6,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.01,0.18,0.01,0.8,2,0,2,1,2,4.0,10.0,0.0,0.09814954576223638,0.005773502691896258,0.1039230484541326,0.052
7,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.01,0.21,0.2,0.58,8,2,6,4,8,5.0,10.0,0.0,0.11547005383792515,0.11547005383792516,0.23094010767585033,0.1155
8,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.03,0.2,0.4,0.37,8,2,6,4,8,6.0,10.0,0.011547005383792514,0.10969655114602891,0.23094010767585033,0.3521836642056717,0.1761
9,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.04,0.17,0.58,0.21,7,2,5,4,7,6.0,10.0,0.017320508075688773,0.09237604307034013,0.3348631561299829,0.44455970727601185,0.2223
10,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.0,0.2,0.78,0.02,8,2,6,4,8,4.0,9.0,0.005773502691896258,0.10969655114602891,0.45033320996790815,0.5542562584220407,0.28
11,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.03,0.37,0.01,0.59,6,0,6,3,6,5.0,10.0,0.011547005383792514,0.20784609690826528,0.005773502691896258,0.22516660498395408,0.1126
12,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.02,0.41,0.18,0.39,8,1,7,4,8,5.0,10.0,0.005773502691896258,0.23094010767585027,0.10392304845413264,0.34063665882187916,0.1703
